Job.Titles,Department,Annual.Salary
POLICE OFFICER,POLICE,48078
AIRPORT MANAGER - O'HARE,AVIATION,88440
FIREFIGHTER-EMT,FIRE,84870
POLICE TECHNICIAN,POLICE,91338
LIEUTENANT,POLICE,127692
DEPUTY CHIEF,POLICE,170112
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,93354
DETENTION AIDE,POLICE,70644
AMBULANCE COMMANDER,FIRE,125130
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,87006
PARKING ENFORCEMENT AIDE,FINANCE,51012
TRAFFIC ENFORCEMENT TECH,FINANCE,36204
POLICE OFFICER,POLICE,87006
FIELD SUPVSR,TRANSPORTN,106416
LIBRARIAN I,PUBLIC LIBRARY,65448
RECRUITER,HUMAN RESOURCES,83688
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,84054
FIREFIGHTER-EMT (RECRUIT),FIRE,72510
POLICY ANALYST,HEALTH,79284
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
AVIATION SECURITY OFFICER,AVIATION,85056
SUPERVISING VIDEOGRAPHER,BUSINESS AFFAIRS,81192
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
POLICE OFFICER,POLICE,93354
FIREFIGHTER-EMT,FIRE,92274
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,87006
FILTRATION ENGINEER IV,WATER MGMNT,110064
POLICE OFFICER,POLICE,48078
CIVIL ENGINEER IV,TRANSPORTN,73440
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,48078
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,73440
POLICE OFFICER,POLICE,87006
MANAGER OF POLICE PAYROLLS,POLICE,102672
POLICE OFFICER,POLICE,87006
SERGEANT,POLICE,107988
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,72510
POLICE OFFICER,POLICE,68616
SENIOR TELECOMMUNICATIONS SPECIALIST,DoIT,97056
ASST COMMISSIONER,BUSINESS AFFAIRS,89076
FIRE ENGINEER-EMT,FIRE,110214
PARAMEDIC I/C,FIRE,97440
CLERK IV,POLICE,66948
EXPLOSIVES TECHNICIAN I,POLICE,111252
DISABILITY SPECIALIST II,DISABILITIES,84516
FIRE ENGINEER-EMT,FIRE,107106
SERGEANT,POLICE,107988
POLICE OFFICER / FLD TRNG OFFICER,POLICE,94524
POLICE COMMUNICATIONS OPERATOR I,OEMC,50412
FIREFIGHTER-EMT,FIRE,95484
POLICE OFFICER,POLICE,76266
POLICE ADMINISTRATIVE CLERK,POLICE,40392
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,93354
SERGEANT,POLICE,104628
SERGEANT,POLICE,101442
SERGEANT,POLICE,111474
STAFF ASST,FINANCE,92592
FIREFIGHTER-EMT (RECRUIT),FIRE,68616
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
POLICE OFFICER,POLICE,96060
ACCOUNTANT IV,FINANCE,100776
TRAFFIC CONTROL AIDE,OEMC,64392
ADMINISTRATIVE ASST II,AVIATION,60972
POLICE OFFICER,POLICE,48078
PARAMEDIC I/C,FIRE,91080
SENIOR BUDGET ANALYST,BUDGET & MGMT,68100
FIREFIGHTER-EMT,FIRE,95484
LIBRARY CLERK,PUBLIC LIBRARY,30588
BRIDGE OPERATOR,TRANSPORTN,70056
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,96060
POLICE OFFICER,POLICE,87006
CIVIL ENGINEER III,WATER MGMNT,100776
LIBRARY CLERK,PUBLIC LIBRARY,48312
ADMINISTRATIVE ASST II,BUILDINGS,70092
POLICE OFFICER,POLICE,84054
ANIMAL CONTROL OFFICER,ANIMAL CONTRL,70644
ASST DEPUTY CHIEF PARAMEDIC,FIRE,156360
POLICE OFFICER / FLD TRNG OFFICER,POLICE,100980
ADMINISTRATIVE ASST III,PUBLIC LIBRARY,80568
POLICE OFFICER,POLICE,72510
LIEUTENANT-EMT,FIRE,114324
ASST TO THE ALDERMAN,CITY COUNCIL,80040
ANIMAL CONTROL OFFICER,ANIMAL CONTRL,64392
LIEUTENANT-EMT,FIRE,117996
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,87006
AVIATION SECURITY OFFICER,AVIATION,64392
POLICE OFFICER,POLICE,90024
DETENTION AIDE,POLICE,43800
AUDITOR II,FINANCE,92388
POLICE OFFICER,POLICE,93354
SUPERVISING CLERK,FINANCE,80568
ADMINISTRATIVE ASST III,OEMC,73440
PUBLIC HEALTH ADMINISTRATOR III,HEALTH,97056
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
POLICE OFFICER,POLICE,76266
PAYROLL ADMINISTRATOR,FINANCE,102348
FILTRATION ENGINEER II,WATER MGMNT,63480
POLICE OFFICER,POLICE,84054
LIEUTENANT,FIRE,114846
ADMINISTRATIVE ASST III - EXCLUDED,COMMUNITY DEVELOPMENT,43308
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,90024
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,91080
ASST CITY TREASURER,TREASURER,87570
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,100980
POLICE OFFICER,POLICE,48078
BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,79704
POLICE OFFICER,POLICE,48078
FIREFIGHTER-EMT (RECRUIT),FIRE,72510
POLICE OFFICER,POLICE,90024
FIREFIGHTER-EMT,FIRE,84870
DIR OF LIBRARY - PROGRAMS AND EXHIBITS,PUBLIC LIBRARY,110364
PARAMEDIC,FIRE,76266
SERGEANT,POLICE,111474
COORDINATING PLANNER,TRANSPORTN,96720
POLICE OFFICER,POLICE,87006
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
COORD OF SPECIAL PROJECTS,BUSINESS AFFAIRS,93300
BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,116736
ACCOUNTANT IV,FINANCE,66588
ADMINISTRATIVE ASST II,FAMILY & SUPPORT,70092
TESTING SPECIALIST,HUMAN RESOURCES,70020
ADMINISTRATIVE ASST II,LAW,60972
STAFF ASST,FAMILY & SUPPORT,92592
SERGEANT,POLICE,101442
